education-num,>50K,Own-child,age_bin,hours-per-week_bin,fnlwgt_bin,capital-gain_bin
0.8,0,0,2,3,1,2
0.8,0,0,3,1,1,1
0.5333333333333333,0,0,2,3,4,1
0.4,0,0,3,3,4,1
0.8,0,0,1,3,5,1
0.8666666666666667,0,0,2,3,5,1
0.2666666666666666,0,0,3,1,3,1
0.5333333333333333,1,0,3,4,4,1
0.8666666666666667,1,0,1,4,1,2
0.8,1,0,2,3,3,2
0.6,1,0,2,5,5,1
0.8,1,0,1,3,2,1
0.8,0,1,1,2,2,1
0.7333333333333333,0,0,2,4,4,1
0.6666666666666666,1,0,2,3,2,1
0.2,0,0,2,4,4,1
0.5333333333333333,0,1,1,3,3,1
0.5333333333333333,0,0,2,3,3,1
0.4,0,0,2,4,1,1
0.8666666666666667,1,0,2,4,5,1
1.0,1,0,2,5,3,1
0.5333333333333333,0,0,3,1,5,1
0.2666666666666666,0,0,2,3,1,1
0.4,0,0,2,3,2,1
0.5333333333333333,0,0,3,3,2,1
0.8,1,0,3,3,4,1
0.5333333333333333,0,1,1,3,3,1
0.6,1,0,3,5,3,1
0.5333333333333333,0,0,2,5,5,1
0.5333333333333333,0,0,3,3,3,1
0.7333333333333333,0,0,1,5,3,1
0.6,0,1,1,4,5,1
0.8,0,1,2,3,5,1
0.6,0,1,1,3,1,1
0.6,0,0,1,1,5,1
0.4,0,0,3,3,4,1
0.6,0,1,1,3,4,1
0.5333333333333333,0,0,1,1,5,1
0.6,1,0,1,3,1,1
0.7333333333333333,0,0,3,3,5,1
0.2666666666666666,0,0,1,3,5,1
0.8,0,0,3,3,1,1
0.8,0,0,1,4,3,1
0.5333333333333333,0,0,3,3,1,1
0.5333333333333333,0,0,1,3,5,1
0.8,1,0,3,3,5,1
0.5333333333333333,0,0,3,3,2,1
0.8666666666666667,0,0,2,3,2,1
0.6666666666666666,0,0,2,3,1,1
0.6666666666666666,0,0,1,3,5,1
0.6,0,0,1,3,1,1
0.5333333333333333,0,1,1,2,4,1
0.9333333333333332,1,0,3,5,1,1
0.8,1,0,3,5,4,1
0.5333333333333333,0,0,3,5,2,1
0.6,1,0,2,3,4,1
0.1333333333333333,0,0,2,3,4,1
0.6666666666666666,0,0,2,3,1,1
0.5333333333333333,0,0,2,4,2,1
0.5333333333333333,0,0,1,3,3,2
0.8,0,0,1,3,1,2
0.2,0,0,2,3,5,1
0.5333333333333333,0,0,3,3,2,1
1.0,1,0,2,4,2,1
0.6,0,0,1,5,1,1
0.5333333333333333,0,0,2,3,2,1
0.6,0,0,1,3,3,1
0.5333333333333333,1,0,3,3,3,1
0.6,1,0,3,4,3,1
0.6,0,1,1,3,4,1
0.6,0,1,1,2,1,1
0.8,0,1,1,3,5,1
0.8,1,0,1,5,3,1
0.6,0,0,1,3,4,1
0.6,0,0,5,1,2,1
0.5333333333333333,0,1,1,3,4,1
0.7333333333333333,0,0,2,3,1,1
0.3333333333333333,0,0,4,1,4,1
0.4,0,1,1,1,5,1
0.2,0,0,1,3,2,1
0.5333333333333333,0,0,1,2,5,1
0.8,0,0,3,3,5,1
0.5333333333333333,0,0,2,3,1,1
0.5333333333333333,0,0,3,4,3,1
0.5333333333333333,1,0,2,3,5,2
0.5333333333333333,0,1,3,3,5,1
